patent_1_id,patent_2_id,patent_1_date,patent_2_date,patent_1_inventor,patent_2_inventor,is_same,LBP_top1,LBP_top2,LBP_top3,LBP_avg,LBP_std,LBP_worse,HOG_top1,HOG_top2,HOG_top3,HOG_avg,HOG_std,HOG_worse,SIFT_top1,SIFT_top2,SIFT_top3,SIFT_avg,SIFT_std,SIFT_worse,SSIM_top1,SSIM_top2,SSIM_top3,SSIM_avg,SSIM_std,SSIM_worse,BF_top1,BF_top2,BF_top3,BF_avg,BF_std,BF_worse,Num_Im_1,Num_Im_2
10469107,10446936,2019-11-05,2019-10-15,fl:pa_ln:henry-8,fl:pa_ln:henry-8,1,0.9893975634955824,0.9883997959733832,0.9883777359322812,0.956675809877816,0.0205695785321585,0.871604235060344,0.92278767,0.8845905,0.8733214,0.2607007748009707,0.092705026,0.070734486,828,827,548,31.12077067669173,38.3884109451639,0,0.8199454573636359,0.8140264478311204,0.8102049266757528,0.569819964918116,0.0910117357801065,0.3060444081449953,255,236,225,2.231672932330827,12.118284227349648,0,56,76
10469107,10404637,2019-11-05,2019-09-03,fl:pa_ln:henry-8,fl:ke_ln:fern-2,0,0.989393342781598,0.9888181262213388,0.9887164751840284,0.955873819531661,0.0263762830214898,0.8479277761053281,0.6767763,0.66542387,0.62252146,0.2871664005132125,0.09139558,0.08397228,177,140,117,19.4375,14.290844502937636,0,0.7808517887089235,0.7740672358716746,0.7692902317155339,0.5258181148396394,0.0974195564090358,0.3256375872831215,131,112,98,2.1160714285714284,10.659150050750847,0,56,12
10448351,10397754,2019-10-15,2019-08-27,fl:ta_ln:yoo-59,fl:ta_ln:yoo-59,1,0.9894895994737192,0.9894480646210828,0.9893414045135964,0.97863638870161,0.0058547272300355,0.9591709129803314,0.45357224,0.45110872,0.44866464,0.2586974758240912,0.06966541,0.10781247,167,163,152,16.50925925925926,24.052987560018696,1,0.7781657008352564,0.7683385043144111,0.7421862027261878,0.5981101203622992,0.0928056294328244,0.3457573839831817,10,8,6,0.4675925925925926,1.2761580582258452,0,12,18
10448351,10444394,2019-10-15,2019-10-15,fl:ta_ln:yoo-59,fl:ma_ln:bittner-2,0,0.9898562711241954,0.9895458995480116,0.9893967535808864,0.9795152215057744,0.0051775281379232,0.965246841709431,0.48837075,0.46249568,0.45700172,0.2284582907954851,0.0828783,0.080690056,185,182,95,14.188888888888888,21.67789167918137,0,0.7954100716437846,0.7891843776523393,0.7764847964180366,0.6104499567467845,0.0882909533711195,0.3951640398085865,11,8,7,0.5388888888888889,1.469557336558223,0,12,15
10397959,10448273,2019-08-27,2019-10-15,fl:se_ln:yi-35,fl:se_ln:yi-35,1,0.9912169821418308,0.990870765492125,0.9906796168183138,0.9835006254842348,0.0050528947325431,0.9659947237499829,0.42971808,0.3793628,0.37735996,0.1795453538497289,0.074550115,0.033178072,29,28,27,8.938888888888888,6.697564971182428,0,0.7933418618171092,0.7874192278308737,0.7854394681186235,0.6726383897124706,0.0665305242576611,0.4786044971325138,32,12,5,0.5611111111111111,2.6586627567860104,0,12,15
10397959,10401839,2019-08-27,2019-09-03,fl:se_ln:yi-35,fl:mo_ln:singhai-1,0,0.9899347039899966,0.9896736443525576,0.9891433802427192,0.9765972480886688,0.0061921814892676,0.9597099610690426,0.37738279,0.37710205,0.36498734,0.2030156454700907,0.06392858,0.009367879,61,45,35,7.236111111111111,6.967171145122824,0,0.7973742233511826,0.7883525345116367,0.785316026834404,0.639903900193429,0.0661955810111523,0.4716060089670374,27,24,15,0.7083333333333334,2.8468834486803933,0,12,18
10469387,10470174,2019-11-05,2019-11-05,fl:sa_ln:vermani-1,fl:sa_ln:vermani-1,1,0.9904196936801118,0.9889902376502282,0.988777075148487,0.9812686869565314,0.0043847403285942,0.9669567546751971,0.47874415,0.45326295,0.43754262,0.2434505019516039,0.07452618,0.039840266,42,38,35,11.024038461538462,8.7373204305561,0,0.8274165686889964,0.7945730000716305,0.7874037244958689,0.6510571499796787,0.0721069453136456,0.441637482610589,9,8,5,0.4951923076923077,1.2325614205083022,0,13,16
10469387,10448276,2019-11-05,2019-10-15,fl:sa_ln:vermani-1,fl:su_ln:chun-24,0,0.9903965086555452,0.9891654425775228,0.9881961297904168,0.9802339609320556,0.0072985020454499,0.9507509725705916,0.45406017,0.4349271,0.42849702,0.230930327002466,0.06483221,0.066153646,43,39,39,9.822485207100591,7.8885260681503535,0,0.8069905105559122,0.7810596582801026,0.7781383922680674,0.651563460250799,0.0790501721047728,0.4108959476988328,13,7,4,0.301775147928994,1.318079711912879,0,13,13
11477437,11477449,2022-10-18,2022-10-18,fl:ka_ln:zhang-44,fl:ka_ln:zhang-44,1,0.9897062674687024,0.988504558234311,0.9884271640299344,0.9730096959927436,0.0097046564009741,0.9299100313358968,0.43476775,0.38837785,0.3882515,0.2332866701607902,0.05457934,0.0809971,165,118,110,15.631666666666666,19.501948549368656,0,0.7334228449147864,0.7309556557734724,0.728737454167623,0.5433973452992172,0.0794834293875182,0.2437648690247188,19,15,15,0.3166666666666666,1.6552106277517138,0,12,50
11477437,10465699,2022-10-18,2019-11-05,fl:ka_ln:zhang-44,fl:jo_ln:kwak-39,0,0.958806181453134,0.9571014826455936,0.9562135722660692,0.9202406125551588,0.0156982173738822,0.892344471452817,0.4216282,0.400579,0.39187542,0.3052919701983531,0.057906866,0.12581304,175,153,131,20.575,31.11341149729486,0,0.6213285332720828,0.5985126344040145,0.5912088364765576,0.4554452066453682,0.0588126435923177,0.3389951420951617,17,16,3,0.4666666666666667,2.1599897119096547,0,12,10
