patent_1_id,patent_2_id,patent_1_date,patent_2_date,patent_1_inventor,patent_2_inventor,is_same,top1,top2,top3,top4,top5,avg,std,worse
10393071,10402674,2019-08-27,2019-09-03,fl:ae_ln:dudar-1,fl:by_ln:jeon-110,0,0.787596792292544,0.786850354848214,0.7845373907485348,0.7818502776893801,0.7808387475919539,0.68515597226906,0.05663705462437131,0.5452070710102542
10393071,11477598,2019-08-27,2022-10-18,fl:ae_ln:dudar-1,fl:ar_ln:lehtiniemi-2,0,0.7274040744594391,0.720146245605244,0.7175137737876333,0.7130952668143431,0.6981847326436089,0.6018628720163735,0.08432543396382544,0.41544748285441935
10393071,10448186,2019-08-27,2019-10-15,fl:ae_ln:dudar-1,fl:ar_ln:lehtiniemi-2,0,0.7370553763966237,0.7361951853966764,0.7303375101231484,0.7263027797667271,0.7181345501202365,0.6339460639272803,0.05564899561230747,0.4864154331725697
10393071,10397722,2019-08-27,2019-08-27,fl:ae_ln:dudar-1,fl:ar_ln:lehtiniemi-2,0,0.792423796123776,0.7731115318152294,0.7535704634967961,0.7478283568283266,0.7419282568097137,0.661563245942085,0.05497867333313958,0.5208481107805272
10393071,10466063,2019-08-27,2019-11-05,fl:ae_ln:dudar-1,fl:ar_ln:lehtiniemi-2,0,0.7625088435534291,0.7532942656458814,0.7509111062941576,0.7359994227262661,0.7254979020526184,0.6348775548610055,0.06644996719612352,0.48688601113145435
10393071,10402984,2019-08-27,2019-09-03,fl:ae_ln:dudar-1,fl:ar_ln:lehtiniemi-2,0,0.7189508248917343,0.6983200916880142,0.6967249891510756,0.6953464630202042,0.6914310561799885,0.6204944137363783,0.0593002583829023,0.47086478949056837
10393071,11477558,2019-08-27,2022-10-18,fl:ae_ln:dudar-1,fl:be_ln:shaffer-3,0,0.7461342882045839,0.7379102056920009,0.7319853383415418,0.7251580584225313,0.7215705023108085,0.5842813142994955,0.08491092119206627,0.22178731677038468
10393071,D863356,2019-08-27,2019-10-15,fl:ae_ln:dudar-1,fl:be_ln:shaffer-3,0,0.679746097223952,0.6570253816473739,0.650713135520939,0.6447993938685365,0.5913455351611557,0.42631703255443537,0.13889142729205733,0.19659245159178831
10393071,D857546,2019-08-27,2019-08-27,fl:ae_ln:dudar-1,fl:be_ln:shaffer-3,0,0.7850216813829561,0.7772994955187356,0.7739036122846211,0.7531728871226029,0.7525420859458765,0.6900452959049267,0.05375006490280869,0.5841930168161452
10393071,D865536,2019-08-27,2019-11-05,fl:ae_ln:dudar-1,fl:be_ln:shaffer-3,0,0.7669556133267065,0.758533692816808,0.7535102495706728,0.7466789296243891,0.7452861828842234,0.6907196803032807,0.04988103185992427,0.5792999595297038
10393071,D858514,2019-08-27,2019-09-03,fl:ae_ln:dudar-1,fl:be_ln:shaffer-3,0,0.7920172394537776,0.7910082295306692,0.7830045557482953,0.7813499468594695,0.7804592573661661,0.7253945158621387,0.052411933921587814,0.5996069968135918
10464564,10401853,2019-11-05,2019-09-03,fl:ae_ln:dudar-1,fl:ae_ln:dudar-1,1,0.8444434628903866,0.7324967098136401,0.7063949512435805,0.6966545255698441,0.6887663832392982,0.6086955494719011,0.06629446051699818,0.5167969082158035
10464564,11477488,2019-11-05,2022-10-18,fl:ae_ln:dudar-1,fl:by_ln:jeon-110,0,0.75182254691442,0.7291153437626371,0.7258111945569898,0.7243425727501221,0.7192535841084047,0.618937428974979,0.05163286760340385,0.49443047596502876
10464564,10448039,2019-11-05,2019-10-15,fl:ae_ln:dudar-1,fl:by_ln:jeon-110,0,0.7912199102091445,0.7866038013187048,0.7749718384936767,0.7429105859989386,0.7340011374646555,0.6517545311763526,0.05347577047241751,0.5345902727883584
10464564,10397580,2019-11-05,2019-08-27,fl:ae_ln:dudar-1,fl:by_ln:jeon-110,0,0.7867502042915127,0.7821827047494607,0.7761541702717883,0.7758567737568414,0.7660350750712843,0.6693261758634733,0.05559835640462965,0.5275215334231139
10464564,10469862,2019-11-05,2019-11-05,fl:ae_ln:dudar-1,fl:by_ln:jeon-110,0,0.8127168537704013,0.7799087561204152,0.7700574517204648,0.763414013912434,0.7455775073323992,0.6631513787076067,0.057505361508051044,0.5518026491990559
