patent_1_id,patent_2_id,patent_1_date,patent_2_date,patent_1_inventor,patent_2_inventor,is_same,LBP,HOG,SIFT,SSIM
10448025,10399344,2019-10-15,2019-09-03,fl:sh_ln:liu-448,fl:ta_ln:mizutani-35,0,0.9869559931569707,0.075146906,41,0.771698498884783
10448423,10470204,2019-10-15,2019-11-05,fl:al_ln:babaei-1,fl:al_ln:babaei-1,1,0.9936162772838271,0.075360045,956,0.8274555246192637
10448423,11473866,2019-10-15,2022-10-18,fl:al_ln:babaei-1,fl:jo_ln:wilding-2,0,0.9885231800213005,0.088241674,24,0.7375038667287283
10395977,10403740,2019-08-27,2019-09-03,fl:th_ln:standaert-2,fl:th_ln:standaert-2,1,0.974847833176693,0.17277782,2158,0.6399543658968166
10395977,10391721,2019-08-27,2019-08-27,fl:th_ln:standaert-2,fl:ma_ln:dragutescu-1,0,0.98565681404497,0.09388464,13,0.7489847497891824
11471155,10390828,2022-10-18,2019-08-27,fl:ja_ln:harris-5,fl:ja_ln:harris-5,1,0.9751093710713686,0.1754328,1976,0.6730308945613522
11471155,10393151,2022-10-18,2019-08-27,fl:ja_ln:harris-5,fl:ko_ln:ueda-6,0,0.9751343017795077,0.15265173,99,0.5967804783413335
10394850,10395180,2019-08-27,2019-08-27,fl:ju_ln:wang-170,fl:ju_ln:wang-170,1,0.9941287138390457,0.103609286,857,0.8300737575257088
10394850,11476161,2019-08-27,2022-10-18,fl:ju_ln:wang-170,fl:sh_ln:harada-22,0,0.9901045523832926,0.046020314,48,0.7866463467403493
10444558,10468471,2019-10-15,2019-11-05,fl:xi_ln:chen-393,fl:xi_ln:chen-393,1,0.9954390453028483,0.078683816,1035,0.8621902168634661
10444558,11470870,2019-10-15,2022-10-18,fl:xi_ln:chen-393,fl:me_ln:kristensen-2,0,0.9779022064813225,0.16200212,71,0.7724268496796899
10396838,11476574,2019-08-27,2022-10-18,fl:am_ln:abdelmonem-1,fl:am_ln:abdelmonem-1,1,0.9869491170645525,0.08502434,1693,0.7369097782801334
10396838,10391307,2019-08-27,2019-08-27,fl:am_ln:abdelmonem-1,fl:pa_ln:karmarkar-1,0,0.9815585959423456,0.10704155,26,0.6678531505763287
10397618,10448192,2019-08-27,2019-10-15,fl:ke_ln:ugur-2,fl:ke_ln:ugur-2,1,0.980998492693962,0.24118169,2349,0.6847343709045967
10397618,10403057,2019-08-27,2019-09-03,fl:ke_ln:ugur-2,fl:da_ln:fawcett-3,0,0.986724561165467,0.12332972,99,0.749328421909039
11475832,10396097,2022-10-18,2019-08-27,fl:sh_ln:yamazaki-67,fl:sh_ln:yamazaki-67,1,0.9695394211799598,0.2596851,3136,0.4785732670667755
11475832,10464890,2022-10-18,2019-11-05,fl:sh_ln:yamazaki-67,fl:ta_ln:hitosugi-2,0,0.9552624238560964,0.30625057,87,0.4283899236694148
11475346,10396973,2022-10-18,2019-08-27,fl:ko_ln:kanda-17,fl:ko_ln:kanda-17,1,0.9955002147564934,0.018314272,420,0.8438727779757662
11475346,10447612,2022-10-18,2019-10-15,fl:ko_ln:kanda-17,fl:ja_ln:resch-1,0,0.9835096865921489,0.18641147,18,0.6828167862825999
10403905,10405312,2019-09-03,2019-09-03,fl:yu_ln:yang-363,fl:yu_ln:yang-363,1,0.9613165776446613,0.2578293,3021,0.5688636075484869
10403905,10401675,2019-09-03,2019-09-03,fl:yu_ln:yang-363,fl:he_ln:lee-141,0,0.9747493562262941,0.24460891,54,0.6778989974681262
10470108,11477836,2019-11-05,2022-10-18,fl:ta_ln:kim-419,fl:ta_ln:kim-419,1,0.9851715625113435,0.14931245,1627,0.675814229531913
10470108,11471858,2019-11-05,2022-10-18,fl:ta_ln:kim-419,fl:mu_ln:ashraf-8,0,0.9854107472878239,0.15254118,52,0.7263366744832591
10469830,10445846,2019-11-05,2019-10-15,fl:lo_ln:wood-13,fl:lo_ln:wood-13,1,0.9878139066866393,0.10906216,1363,0.7656679261543785
10469830,10468425,2019-11-05,2019-11-05,fl:lo_ln:wood-13,fl:an_ln:richelli-2,0,0.9674683499113913,0.17072311,12,0.5746695282023707
10395857,10396688,2019-08-27,2019-08-27,fl:an_ln:jaap-1,fl:an_ln:jaap-1,1,0.9904973368196776,0.12614611,1120,0.79393153349906
10395857,10390986,2019-08-27,2019-08-27,fl:an_ln:jaap-1,fl:cl_ln:pickover-2,0,0.9742689864810906,0.14281398,139,0.7357356556377208
10448470,10396666,2019-10-15,2019-08-27,fl:li_ln:fang-50,fl:li_ln:fang-50,1,0.9877187125530205,0.100948706,1931,0.7577826309677107
10448470,10448400,2019-10-15,2019-10-15,fl:li_ln:fang-50,fl:sa_ln:ro-4,0,0.9866503430246358,0.2131272,73,0.7621549478076661
10441888,10396741,2019-10-15,2019-08-27,fl:ri_ln:kulavik-1,fl:ri_ln:kulavik-1,1,0.9914145359172234,0.060061995,472,0.8281070312939749
10441888,10442780,2019-10-15,2019-10-15,fl:ri_ln:kulavik-1,fl:ja_ln:longmire-2,0,0.9914515338467798,0.05258302,43,0.8154980143452002
10394737,10445278,2019-08-27,2019-10-15,fl:ke_ln:duwel-1,fl:ke_ln:duwel-1,1,0.9851366251309654,0.18114829,1954,0.704304839551133
10394737,11471076,2019-08-27,2022-10-18,fl:ke_ln:duwel-1,fl:jo_ln:hicks-5,0,0.9522905512631028,0.19751783,106,0.5951129039134557
10447443,10469151,2019-10-15,2019-11-05,fl:he_ln:kim-346,fl:he_ln:kim-346,1,0.9906194637279492,0.103304215,2208,0.752180720814455
10447443,10399363,2019-10-15,2019-09-03,fl:he_ln:kim-346,fl:yu_ln:imanaga-1,0,0.993379519716983,0.11053279,57,0.8162419617233313
10446688,11474366,2019-10-15,2022-10-18,fl:ye_ln:chen-94,fl:ye_ln:chen-94,1,0.9783767330155462,0.1749768,1872,0.5646384076767962
10446688,10467037,2019-10-15,2019-11-05,fl:ye_ln:chen-94,fl:kw_ln:choi-123,0,0.9794462201174133,0.21270138,35,0.5494514677959981
10443180,10447776,2019-10-15,2019-10-15,fl:se_ln:lee-574,fl:se_ln:lee-574,1,0.9875536221914811,0.16397467,818,0.795760049198862
10443180,10394080,2019-10-15,2019-08-27,fl:se_ln:lee-574,fl:pa_ln:hsieh-4,0,0.9892808933228586,0.113047466,15,0.7680044924036152
10401631,10445577,2019-09-03,2019-10-15,fl:yo_ln:seo-123,fl:yo_ln:seo-123,1,0.9882927511958091,0.101828165,1124,0.7856787104105144
10401631,10396959,2019-09-03,2019-08-27,fl:yo_ln:seo-123,fl:ju_ln:cezanne-1,0,0.9897222653715295,0.11634934,14,0.7756617417885747
